cld,cld_360smth,cld_anm360,cld_21smth,cld_anm21,CRF,CRF_21smth,CRF_21anm
62.64550,-999.00000,-999.00000,59.61263,3.03287,-2.45240,-2.97002,0.51762
62.31040,-999.00000,-999.00000,59.91314,2.39726,-2.64594,-2.98867,0.34273
61.34280,-999.00000,-999.00000,60.23430,1.10850,-2.87031,-3.00503,0.13472
60.47620,-999.00000,-999.00000,60.59109,-0.11489,-2.84402,-3.02585,0.18183
59.87200,-999.00000,-999.00000,60.71716,-0.84516,-2.58550,-3.07476,0.48926
59.35050,-999.00000,-999.00000,60.77036,-1.41986,-3.57722,-3.13025,-0.44697
59.36900,-999.00000,-999.00000,60.78589,-1.41689,-4.42465,-3.19373,-1.23092
60.56950,-999.00000,-999.00000,60.78895,-0.21945,-4.33752,-3.24896,-1.08855
60.13890,-999.00000,-999.00000,60.79460,-0.65570,-3.86419,-3.28123,-0.58296
59.59360,-999.00000,-999.00000,60.70081,-1.10721,-3.43651,-3.30648,-0.13003
59.87340,-999.00000,-999.00000,60.59630,-0.72290,-2.90413,-3.35263,0.44851
60.00020,-999.00000,-999.00000,60.51875,-0.51855,-3.40850,-3.40559,-0.00292
61.75560,-999.00000,-999.00000,60.51388,1.24172,-3.42086,-3.45306,0.03221
61.33680,-999.00000,-999.00000,60.53073,0.80607,-3.32833,-3.49191,0.16359
62.48950,-999.00000,-999.00000,60.53474,1.95476,-3.49533,-3.51624,0.02091
62.48810,-999.00000,-999.00000,60.60191,1.88619,-3.50127,-3.56879,0.06752
61.70270,-999.00000,-999.00000,60.74988,0.95282,-3.65648,-3.55153,-0.10495
60.10860,-999.00000,-999.00000,60.88387,-0.77527,-3.59421,-3.43968,-0.15453
59.92210,-999.00000,-999.00000,60.95312,-1.03102,-999.00000,-3.27899,-999.00000
59.26540,-999.00000,-999.00000,61.01188,-1.74648,-999.00000,-3.12684,-999.00000
60.10630,-999.00000,-999.00000,61.02668,-0.92038,-999.00000,-3.03094,-999.00000
60.45080,-999.00000,-999.00000,61.03453,-0.58373,-999.00000,-2.99152,-999.00000
60.68180,-999.00000,-999.00000,60.91300,-0.23120,-999.00000,-2.93720,-999.00000
